business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
FrjW5L9CNstkFyK9TcDZRQ,"13100 N Sunridge Dr
Fountain Hills, AZ 85268",07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 21:00,07:00 - 21:00,07:00 - 18:00,True,"American (New),Restaurants",Fountain Hills,13,Wicked Six Bar & Grill,,-111.7565281,33.605214399999994,AZ,5.0
uXJbNkU6cKAooMWTWnl5aA,"Summerlin
Las Vegas, NV 89128",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,True,"Food,Food Delivery Services,Gluten-Free,American (New),Restaurants",Las Vegas,8,Body Food Kitchen,Summerlin,-115.2659777,36.1988542,NV,5.0
jdStuaC_1leN_DNGcQ0yEw,"34631 N Tom Darlington Dr
Carefree, AZ 85377",18:00 - 21:30,18:00 - 21:30,18:00 - 21:30,18:00 - 21:30,18:00 - 21:30,18:00 - 21:30,18:00 - 21:30,False,"American (New),Restaurants",Carefree,5,Latilla,,-111.928009,33.8000527,AZ,5.0
txOMZiCpQwI4qydicluM3g,"8737 W Grand Ave
Peoria, AZ 85345",,,,,,,,True,"Breakfast & Brunch,American (New),Restaurants",Peoria,4,Dennys,,-112.246566,33.588462,AZ,5.0
mOXrStaa4BOvFP6SgPo_Yg,"Lifetime Fitness
6850 E Chauncey Ln
Scottsdale, AZ 85250",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 19:00,06:00 - 19:00,True,"Health Markets,Food,Specialty Food,American (New),Restaurants",Scottsdale,3,Life Cafe,,-111.932952,33.652509,AZ,5.0
SVSNsGZat2WjTBNCmJlsHA,"Phoenix, AZ 85004",,,,,,,,True,"American (New),Restaurants",Phoenix,3,Ed's,,-112.0685027,33.452829200000004,AZ,5.0
iA5_BIxzVc6KBg1YcFy9sg,"7755 E Gray Rd
Scottsdale, AZ 85260",08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,,,True,"Bakeries,Food,Caterers,Event Planning & Services,American (New),Restaurants",Scottsdale,4,Wildflower Bread Company,,-111.912939,33.6118189,AZ,5.0
6GnJUbiq73xm24F7SixI9g,"109 W Honeycutt Rd
Maricopa, AZ 85138",06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,09:00 - 13:00,False,"Food,Coffee & Tea,American (New),Restaurants",Maricopa,20,Honeycutt Coffee,,-112.044646461737,33.05825482683529,AZ,5.0
LsKF7GFQ0j5U1jLMwq0_hQ,"14 W Vernon Ave
Phoenix, AZ 85003",,,,,,,,True,"Bars,Restaurants,Wine Bars,Nightlife,American (New),Pizza",Phoenix,11,Oven and Vine,,-112.074605,33.474235,AZ,5.0
xtuiOHwL5HmVINb9XZvc9g,"1725 N Rainbow Blvd
Las Vegas, NV 89108",,,,,,,,False,"American (New),Restaurants",Las Vegas,4,Bonzai Bob's,,-115.2422955,36.192231,NV,5.0
xY5BFKQFo5iLDhXxihkduQ,"1602 E Jefferson St
Phoenix, AZ 85034",,,,,,,,False,"Fast Food,American (New),Restaurants",Phoenix,3,Pollo Sabroso,,-112.047375,33.447551000000004,AZ,5.0
mY3l0hqy2aayUWRjIYpBVA,"816 S Stapley Rd
Mesa, AZ 85204",,,,,,,,True,"American (New),Sandwiches,Restaurants",Mesa,44,Niki's Kitchen- Fry Bread,,-111.8054114,33.4001474,AZ,4.5
eG3Kxpv-JOLib9o5W9Aiyw,"940 Williamson St
Williamson - Marquette
Madison, WI 53703",16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 23:00,16:00 - 23:00,,True,"Tapas Bars,American (New),Restaurants",Madison,125,A Pig In a Fur Coat,"Williamson - Marquette,Willy St",-89.36901368200779,43.08003187179569,WI,4.5
HgIqOb4R8gWy6dqwYkZfEA,"594 N Stephanie St
Henderson, NV 89014",11:00 - 23:00,15:00 - 21:30,15:00 - 21:30,15:00 - 21:30,11:00 - 22:00,11:00 - 22:00,16:00 - 21:30,False,"American (New),Mexican,Restaurants",Henderson,41,Sabor,,-115.0460157,36.061685,NV,4.5
JNEeWjajyZPrwMb1cYi_pg,"1420 N Trekell Rd
Casa Grande, AZ 85222",,,,,,,,True,"American (New),Restaurants",Casa Grande,41,Creative Cafe,,-111.7397646,32.8874836,AZ,4.5
gpdBiTU4FWxBz4sAb9UW3g,"2119 E Camelback Rd
Ste A21
Phoenix, AZ 85016",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,11:00 - 21:00,True,"Seafood,American (New),Barbeque,Restaurants",Phoenix,68,Grassroots Kitchen & Tap,,-112.0383926,33.5078944,AZ,4.5
imvNxppzxkLUPH64pQsDQg,"2400 E Missouri Ave
Phoenix, AZ 85016",17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,10:00 - 14:00,True,"Breakfast & Brunch,American (New),Restaurants",Phoenix,44,Wright's,,-112.029562,33.516066200000004,AZ,4.5
T9iBSa4pxYXP129pHlt5Sg,"5594 W Wild Horse Pass Blvd
Chandler, AZ 85226",,17:30 - 22:00,17:30 - 22:00,17:30 - 22:00,17:30 - 22:00,17:30 - 22:00,,True,"Breakfast & Brunch,American (New),Sandwiches,Restaurants",Chandler,119,Kai,,-111.9918702,33.266476899999994,AZ,4.5
5DVYPvN0arhY7Ea0PGEtqQ,"21803 S Ellsworth Rd
Ste E
Queen Creek, AZ 85242",,,,,,,,False,"American (New),Restaurants",Queen Creek,3,Bahama  Bucks,,-111.6341365,33.2504097,AZ,4.5
yJMLD-6AggZNdC-GonVBsA,"6920 E Cave Creek Rd
Cave Creek, AZ 85331",,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,,True,"American (New),Restaurants",Cave Creek,171,Binkley's,,-111.931632,33.830308,AZ,4.5
uUz3CHsNFFWycpsfTsR4qg,"19 - 21b Causewayside
Newington
Edinburgh EH9 1QF",17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,,True,"American (New),British,French,Restaurants",Edinburgh,13,Hewat's Restaurant,Newington,-3.1817486,55.9387703,EDH,4.5
hJVt1P4FOvj-soabliLdaA,"937 E Broadway
Tempe, AZ 85282",,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,,False,"American (Traditional),American (New),Chicken Wings,Restaurants",Tempe,89,Rock-n-Roll Fingers,,-111.9249269,33.4074351,AZ,4.5
L-uPZxooP_ziXCtRrWi8Pw,"6934 E 1st Ave
Scottsdale, AZ 85251",,18:00 - 20:30,18:00 - 20:30,18:00 - 20:30,18:00 - 21:00,18:00 - 21:00,10:00 - 14:00,True,"American (New),Restaurants",Scottsdale,253,Café Monarch,,-111.931447,33.494205,AZ,4.5
zG_wv69bsllw_PWhOmoAKQ,"3213 E Camelback Rd
Phoenix, AZ 85018",17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 21:00,True,"American (New),Restaurants",Phoenix,160,Tarbell's,,-112.0122744,33.5098,AZ,4.5
_OQ9qkPuDmJQq63qRUzY2g,"2660 S Maryland Pkwy
Ste 24
Eastside
Las Vegas, NV 89109",,,,,,,,True,"Bars,American (New),Nightlife,Lounges,Restaurants",Las Vegas,5,Island Grill,Eastside,-115.146372,36.124423,NV,4.5
zj0BkAi54BGU_AK6AyvJDQ,"10637 N Tatum Blvd
Phoenix, AZ 85028",09:00 - 22:00,16:00 - 22:00,11:00 - 14:00,11:00 - 14:00,11:00 - 14:00,16:00 - 22:00,16:00 - 22:00,True,"American (Traditional),American (New),Restaurants",Phoenix,172,Rusconi's American Kitchen,,-111.9767865,33.5842663,AZ,4.5
G889tD7nYKehDXYXGYJehw,"716 Center St
Ste 130
Henderson, NV 89015",,,,,,,,True,"Burgers,American (New),Restaurants",Henderson,4,Sip N Slider,,-114.966646,36.03865379999999,NV,4.5
aGulqXnFmpOh_5Qh96uBng,"Wynn Las Vegas
3131 Las Vegas Blvd S
Eastside
Las Vegas, NV 89109",18:00 - 22:00,,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,False,"American (New),French,Restaurants",Las Vegas,128,Alex,Eastside,-115.146372,36.124423,NV,4.5
WZNU4bQJJHr3p4SjnjVrkg,"9500 E Indian Bend Rd
Scottsdale, AZ 85256",09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 02:00,08:00 - 02:00,09:00 - 00:00,True,"Bars,Golf,Nightlife,Active Life,American (New),Sports Bars,Restaurants",Scottsdale,46,Topgolf,,-111.8772093,33.539476300000004,AZ,4.5
