business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
_wZTYYL7cutanzAnJUTGMA,"4506 Larson Beach Rd
Mc Farland, WI 53558",,,,,,,,True,"Bars,American (Traditional),Nightlife,Lounges,Restaurants",Mc Farland,31,Beach House Restaurant & Lounge,,-89.303789,43.017701,WI,3.5
HaBkx5PwvbBpQ2iNCgHnVQ,"2401 Parmenter St
Middleton, WI 53562",07:00 - 11:00,07:00 - 11:00,07:00 - 11:00,11:00 - 13:00,07:00 - 11:00,08:00 - 11:00,08:00 - 11:00,True,"Bars,American (New),Nightlife,Restaurants",Middleton,11,Paul's Neighborhood Bar,,-89.5111616,43.1014598,WI,3.5
xbJ9tdGbcVJIUkNgHSCwZQ,"1914 Aurora St
Middleton, WI 53562",,,,,,,,True,"Bars,Nightlife,Restaurants",Middleton,10,Hody Bar & Grill,,-89.5128222,43.095696,WI,2.5
G1qUGBNYNS220jKlPAlFsA,"7508 Hubbard Ave
Middleton, WI 53562",10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,,True,"Bars,American (Traditional),Nightlife,Restaurants",Middleton,34,The Village Green Bar & Grill,,-89.5120419,43.095724,WI,4.0
oudTF4EN_C8thENGiTQf-w,"4344 E Towne Blvd
Madison, WI 53704",,,,,,,,True,"Bars,American (New),Nightlife,Restaurants",Madison,9,Chili's,,-89.3087635,43.1266792,WI,3.0
MVFeOZVt641WBvdsRmnhPg,"2417 Pennsylvania Ave
Emerson East
Madison, WI 53704",10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,True,"Dive Bars,Bars,American (Traditional),Nightlife,Restaurants",Madison,6,Slice-N-Bullits Bar & Grill,Emerson East,-89.357979,43.104434,WI,4.0
HTplzElel_F_U_qhWuDKdg,"301 North St
Eken Park
Madison, WI 53704",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:30,11:00 - 02:30,11:00 - 02:00,True,"Pubs,Bars,American (New),Nightlife,Restaurants",Madison,53,Dexter's Pub,Eken Park,-89.35019,43.103498,WI,4.0
QdSGdvZATzejDkSs435Rdw,"3710 County Rd T
Ridgewood
Madison, WI 53704",,,,,,,,True,"Dive Bars,Burgers,Bars,Nightlife,Restaurants",Madison,6,Eagle Crest Bar,Ridgewood,-89.2873539,43.107341,WI,2.5
JJFoeKZXgi2_LeECDMkkoQ,"601 N St
Emerson East
Madison, WI 53704",15:00 - 02:00,15:00 - 02:00,15:00 - 02:00,15:00 - 02:00,15:00 - 02:00,15:00 - 02:00,15:00 - 02:00,True,"Bars,American (New),Nightlife,Restaurants",Madison,21,Tip Top Tavern,Emerson East,-89.3601219153442,43.0928709123715,WI,4.0
KHOHjA8HOcTlFBCtMQFv8A,"2201 Atwood Ave
Schenk - Atwood
Madison, WI 53704",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:30,11:00 - 02:30,11:00 - 02:00,True,"Dive Bars,Bars,American (Traditional),Nightlife,Restaurants",Madison,36,Harmony Bar & Grill,"Schenk - Atwood,Williamson - Marquette",-89.3493112,43.0931332,WI,4.0
ykxf0XiJt-d76dBwfO_yew,"2502 East Springs Dr
Madison, WI 53704",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,10:00 - 02:00,10:00 - 02:00,11:00 - 02:00,True,"Bars,Restaurants,American (Traditional),Sports Bars,Nightlife",Madison,10,TGI Friday's,,-89.2987432,43.1314601,WI,3.0
cRqZ_w9ImfYYIXTHpJMv0Q,"5805 Monona Dr
Monona, WI 53716",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:30,11:00 - 02:30,08:00 - 02:00,True,"Bars,American (Traditional),Nightlife,Restaurants",Monona,13,Silver Eagle Bar & Grill,,-89.326148,43.056329,WI,3.5
kOXJrbuB1a1Na6sf_WQnDg,"6401 Monona Dr
Monona, WI 53716",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:30,08:00 - 02:30,08:00 - 02:00,True,"Bars,American (Traditional),Nightlife,Restaurants",Monona,6,Tully's II Food & Spirits,,-89.325947,43.048755,WI,2.0
45puCRQ6Vh_IIAy7kkfFDQ,"24 N 2nd St
Phoenix, AZ 85004",,,,,,,,True,"Bars,Restaurants,American (Traditional),Sports Bars,Nightlife",Phoenix,157,Majerle's Sports Grill,,-112.0712574,33.4484654,AZ,3.5
kaIue7GRCmkPzDeHDBTttQ,"1401 N Central Ave
Phoenix, AZ 85004",10:30 - 18:30,10:30 - 18:30,10:30 - 18:30,10:30 - 18:30,10:30 - 18:30,,,True,"Japanese,Sushi Bars,Asian Fusion,Restaurants",Phoenix,145,Phoenix Blue Fin,,-112.073568999767,33.4640982988196,AZ,4.0
j8nyAaN_w5t6wYv-ni23sg,"412 S 3rd St
Phoenix, AZ 85004",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 02:00,11:00 - 02:00,11:00 - 20:00,False,"Nightlife,Bars,American (New),Sports Bars,Restaurants",Phoenix,79,Coach & Willies,,-112.070061,33.443864,AZ,3.0
5XIvwfbIa-vuFEkkeCQ6kQ,"245 E Jackson St
Phoenix, AZ 85004",,,,,,,,True,"Bars,American (New),Restaurants,Sports Bars,Nightlife",Phoenix,10,Jackson's On 3rd,,-112.0703479,33.4450348,AZ,2.0
qsWxbgQwuomXvMseg23DGg,"455 N 3rd St
Phoenix, AZ 85004",,,,,,,,True,"Bars,American (Traditional),Sports Bars,Nightlife,Chicken Wings,Restaurants",Phoenix,77,Hooters,,-112.0691194,33.4526031,AZ,2.5
muCl5p-9ut1sY0aKeUeRhw,"1326 N Central Ave
Phoenix, AZ 85004",16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 21:00,False,"Wine Bars,Bars,American (New),Nightlife,Restaurants",Phoenix,189,Cheuvront,,-112.074725,33.463172,AZ,3.5
oCA2OZcd_Jo_ggVmUx3WVw,"101 E Jackson St
Phoenix, AZ 85004",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,11:00 - 17:00,True,"Bars,American (Traditional),Nightlife,Sports Bars,Barbeque,Restaurants",Phoenix,299,Alice Cooper'stown,,-112.07211772211,33.444801984944,AZ,3.5
W41CEzdKJe8wdDB-Rd6KJQ,"4729 E McDowell Rd
Phoenix, AZ 85008",10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,09:00 - 17:00,True,"Bars,Restaurants,American (Traditional),Nightlife,Karaoke",Phoenix,20,Breakroom Bar & Grill,,-111.979613,33.465355,AZ,3.0
3xEB9FyFXolq1b_Qn_BFtg,"4240 N Central Ave
Phoenix, AZ 85012",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,True,"Pubs,Bars,Nightlife,British,Restaurants",Phoenix,227,George & Dragon Restaurant,,-112.0739754,33.4977417,AZ,3.5
3CSaqRNvYg7ZdN2zwxwzVw,"6327 N 7th St
Phoenix, AZ 85014",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,16:30 - 22:00,,True,"Bars,Seafood,Wine Bars,Nightlife,Italian,Restaurants",Phoenix,64,Christos Ristorante,,-112.064704,33.529845,AZ,4.0
ntJAKLAq0cXzzdFgPoo0Iw,"4812 N 16th St
Phoenix, AZ 85016",10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,10:00 - 02:00,True,"Bars,Dive Bars,Burgers,Nightlife,Chicken Wings,Restaurants",Phoenix,83,Harvey's Wineburger,,-112.0475385,33.5078595,AZ,3.5
c0RSs2KYK5Y-ZlSrNq9LyA,"6845 N 16th St
Phoenix, AZ 85016",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,11:00 - 21:00,True,"Sushi Bars,Japanese,Restaurants",Phoenix,211,Moto Sushi,,-112.0474809,33.5369963,AZ,3.5
HIiVx2mseVWKtx8TKfWC_A,"1651 E Camelback Rd
Phoenix, AZ 85016",07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 21:00,07:00 - 21:00,08:00 - 19:00,08:00 - 19:00,True,"Bars,Breakfast & Brunch,Wine Bars,Nightlife,Restaurants,Sandwiches",Phoenix,143,Duck & Decanter,,-112.0467405,33.5092185,AZ,4.0
SOHp2b8quJEitFeuO58Syw,"1720 E Camelback Rd
Phoenix, AZ 85016",11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 22:00,11:00 - 21:30,False,"Seafood,Sushi Bars,Restaurants",Phoenix,35,Fish Market Restaurant,,-112.044949,33.509927,AZ,3.5
CqhsIZ7TzCfJTrZqg5-gqQ,"1904 E Camelback Rd
Phoenix, AZ 85016",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,True,"Nightlife,Bars,American (Traditional),Sports Bars,Restaurants",Phoenix,147,Armadillo Grill,,-112.0409502,33.5093736,AZ,4.0
C37jakxE5TX6ccAfjp2kJA,"2501 E Camelback Rd
Phoenix, AZ 85016",,,,,,,,False,"Bars,American (Traditional),Nightlife,Restaurants",Phoenix,5,Nixon's,,-112.0273984,33.5093706,AZ,3.5
NDKkce5Au-o_OhIt5f2ZBg,"3160 E Camelback Rd
Phoenix, AZ 85016",,,,,,,,False,"Sushi Bars,Japanese,Restaurants",Phoenix,110,Zen 32,,-112.01408,33.5100455,AZ,3.0
YSQnaRE4Le6CaonZICFyVQ,"2057 E Camelback Rd
Phoenix, AZ 85016",,,,,,,,False,"Bars,American (Traditional),Nightlife,Restaurants",Phoenix,3,Chili's Grill and Bar,,-112.0370322,33.5092864,AZ,2.0
yPfvOB63thP5t3pGZPJExA,"2501 E Telewa Trl
Phoenix, AZ 85016",09:00 - 17:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,10:00 - 14:00,True,"Bars,Restaurants,Venues & Event Spaces,Event Planning & Services,American (New),Nightlife",Phoenix,112,The Wrigley Mansion Club,,-112.026658,33.523043,AZ,3.5
CkQKNhlm8DOzxbXm_zb3bg,"2442 E Camelback Rd
Phoenix, AZ 85016",,,,,,,,False,"Bars,Food,Beer, Wine & Spirits,Wine Bars,Nightlife,Restaurants",Phoenix,3,The Vintage Market,,-112.0290689,33.5094453,AZ,4.5
rVUEZpHQfWI_3kt0lBwaxQ,"3114 E Camelback Rd
Phoenix, AZ 85016",11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,08:00 - 22:00,True,"Bars,American (Traditional),Nightlife,Restaurants",Phoenix,64,Keegan's Grill,,-112.0152924,33.5100098,AZ,3.5
PuHucejs4LG3hSXnrwi9-g,"2320 E Osborn Rd
Phoenix, AZ 85016",,,,,,,,False,"Wine Bars,Bars,Nightlife,French,Restaurants",Phoenix,44,Sophie's French Bistro,,-112.031296,33.487817,AZ,4.0
SDwYQ6eSu1htn8vHWv128g,"3939 E Campbell Ave
Phoenix, AZ 85018",11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 00:00,09:00 - 00:00,09:00 - 22:00,True,"Wine Bars,Bars,Restaurants,Nightlife,Italian",Phoenix,921,Postino Arcadia,,-111.996292,33.502191,AZ,4.5
qz4ZOcv-840UjfCEYI4qZg,"4829 E Indian School Rd
Phoenix, AZ 85018",15:30 - 00:00,15:30 - 00:00,15:30 - 00:00,15:30 - 00:00,15:30 - 02:00,11:00 - 02:00,11:00 - 17:30,True,"Burgers,Bars,American (Traditional),Nightlife,Restaurants",Phoenix,62,Jt's Bar & Grill,,-111.976613,33.494204,AZ,4.0
rwT9wCyXNATA36yqcb4JSg,"10618 N Cave Creek Rd
Phoenix, AZ 85020",08:00 - 01:00,08:00 - 01:00,08:00 - 01:00,08:00 - 01:00,08:00 - 02:00,08:00 - 02:00,08:00 - 01:00,True,"Nightlife,Bars,Pizza,Sports Bars,Restaurants",Phoenix,16,Big Daddy's Sports Lounge,,-112.051734,33.583061,AZ,4.0
EUXT1vSFWaiD_BFmFK8rBg,"10604 N Cave Creek Road
Phoenix, AZ 85020",,,,,,,,True,"Nightlife,Bars,Diners,Lounges,Restaurants",Phoenix,12,Bobby D's Restaurant & Lounge,,-112.051894,33.582578,AZ,4.0
F-ykHfGY9lWr12OJ_Ofy7A,"7575 N 16th St
Phoenix, AZ 85020",,,,,,,,True,"Bars,Restaurants,American (Traditional),Sports Bars,Nightlife",Phoenix,58,Gallagher's Sports Grill,,-112.047023,33.546608,AZ,3.0
cTyBfWfmgL3vgRetyfmtyA,"1606 E Bell Rd
Ste 101
Phoenix, AZ 85022",,,,,,,,False,"Bars,Restaurants,American (Traditional),Sports Bars,Nightlife",Phoenix,10,Sport Peppers Grill,,-112.0475,33.641478,AZ,2.5
kvxrjOmicwb2njvXOJsZRw,"13470 N 7th St
Phoenix, AZ 85022",,,,,,,,True,"Nightlife,Bars,American (New),Sports Bars,Restaurants",Phoenix,17,Ammaccapane's Restaurant & Sports Bar,,-112.06668779254,33.6094380925246,AZ,3.5
PkBkqQpAoeX3Ogo5HBthQg,"751 E Union Hls Dr
Phoenix, AZ 85024",11:00 - 00:00,11:00 - 00:00,11:00 - 00:00,11:00 - 02:00,11:00 - 02:00,09:00 - 02:00,,True,"Nightlife,Bars,American (Traditional),Sports Bars,Restaurants",Phoenix,29,Gallagher's,,-112.0638772,33.6548578,AZ,3.5
JImJictLIE48_O1z-l2TGw,"2625 E Bell Rd
Phoenix, AZ 85032",,,,,,,,True,"Bars,American (Traditional),Nightlife,Restaurants",Phoenix,35,Wagon Yard,,-112.0249314,33.6400327,AZ,3.5
vFJmFFfPVhHkC3bWOeZnNA,"2848 E Bell Rd
Phoenix, AZ 85032",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,True,"Bars,American (Traditional),Pubs,Sandwiches,Restaurants,Nightlife",Phoenix,48,Casey Jones Grill,,-112.0202933,33.6405727,AZ,4.0
hNVcBhJSD5HyLKMf_Z7TaA,"12811 N Tatum Blvd
Ste A
Phoenix, AZ 85032",11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 22:30,11:00 - 22:30,11:00 - 21:30,False,"Bars,American (Traditional),Burgers,Nightlife,Sports Bars,Restaurants",Phoenix,44,Islands Restaurant,,-111.977892,33.6040525,AZ,3.0
IPmktV4dkAw1jpHZRi5mVw,"15030 N Tatum Blvd
Phoenix, AZ 85032",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 19:00,09:00 - 18:00,True,"Food,Juice Bars & Smoothies,Gluten-Free,Restaurants",Phoenix,12,Smoothie King,,-111.978416442871,33.623649597168,AZ,3.0
VpQZo6KV8CqkIG_MRQ3jiA,"3510 E Bell Rd
Phoenix, AZ 85032",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,True,"Bars,Restaurants,Sports Bars,Irish,Nightlife",Phoenix,23,Brennan's Pub & Grub,,-112.0063922,33.6412984,AZ,3.5
r7Ge8_c5Y2TXthb4CSjzaA,"12615 N Tatum Blvd
Phoenix, AZ 85032",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,17:00 - 21:00,True,"Sushi Bars,Japanese,Restaurants",Phoenix,111,Shogun,,-111.9797159,33.5999386,AZ,3.0
avvNnkpGpGIS-2CClsduXA,"2435 S 47th St
Phoenix, AZ 85034",11:00 - 00:00,11:00 - 00:00,11:00 - 00:00,11:00 - 00:00,11:00 - 00:00,11:00 - 00:00,11:00 - 00:00,True,"Bars,American (Traditional),Nightlife,Lounges,Sports Bars,Restaurants",Phoenix,13,Rimrock Bar & Grille,,-111.98091,33.425077,AZ,3.0
0Apb1P7RzbQEkeJDuywlPQ,"4230 S 48th St
Phoenix, AZ 85040",,,,,,,,False,"Pubs,Bars,American (Traditional),Nightlife,Restaurants",Phoenix,11,George & Dragon II English Restaurant Pub,,-111.9783494,33.4089039,AZ,2.0
0vzZ_Bcb02rJljeMU9XkBw,"5061 E Elliot Rd
Phoenix, AZ 85044",11:00 - 14:00,17:30 - 21:30,17:30 - 21:30,17:30 - 21:30,11:00 - 14:00,11:30 - 14:30,17:30 - 21:30,True,"Seafood,Sushi Bars,Japanese,Restaurants",Phoenix,204,Sakana Sushi & Grill,,-111.976156,33.347684,AZ,4.0
