business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
g6SHDb-0BYr2weF7heRsjg,"1941 W Guadalupe Rd
Ste 118
Mesa, AZ 85202",,,,,,,,True,"Breakfast & Brunch,Vegetarian,Vegan,Restaurants",Mesa,5,Iss' Magic Mixes Oatmeal Cafe,,-111.8757857,33.3628077,AZ,5.0
WBfPco3j27X_IBpZ_PDcUA,"2155 W Pinnacle Peak Rd
Unit 1
Phoenix, AZ 85027",07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,,,True,"Breakfast & Brunch,Restaurants",Phoenix,14,Corridors Cafe,,-112.1068993,33.699034000000005,AZ,5.0
txOMZiCpQwI4qydicluM3g,"8737 W Grand Ave
Peoria, AZ 85345",,,,,,,,True,"Breakfast & Brunch,American (New),Restaurants",Peoria,4,Dennys,,-112.246566,33.588462,AZ,5.0
t80qleqEIqIyekB95IrAOA,"13623 N 32nd St
Phoenix, AZ 85032",06:30 - 14:00,06:30 - 14:00,06:30 - 14:00,06:30 - 14:00,06:30 - 14:00,06:30 - 14:00,06:30 - 14:00,True,"Breakfast & Brunch,Cafes,Restaurants",Phoenix,209,Original Breakfast House,,-112.013072,33.610554,AZ,4.5
1yx2zLskVTe5WQdYjL2Apw,"4533 W Sahara Ave
Ste 5
Westside
Las Vegas, NV 89102",06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,True,"Burgers,Breakfast & Brunch,Sandwiches,Restaurants",Las Vegas,832,Egg & I,Westside,-115.2016373,36.1443957,NV,4.5
ss5gVggeSmAgMUeL65UvYw,"302 N Gilbert Rd
Gilbert, AZ 85234",11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 00:00,09:00 - 00:00,09:00 - 22:00,True,"Bars,Breakfast & Brunch,Wine Bars,Nightlife,Italian,Restaurants",Gilbert,338,Postino East,,-111.7899116,33.3551173,AZ,4.5
NVxVxIejYzTYC0Pykia91A,"305 N 4th St
Emerson East
Madison, WI 53704",07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,08:30 - 14:30,True,"Bakeries,Food,Breakfast & Brunch,Coffee & Tea,Restaurants",Madison,53,4&20 Bakery & Cafe,Emerson East,-89.35656420886521,43.097919523716,WI,4.5
t-g86Zfj0iiyqbLzRQdNyg,"606 S Watson Rd
Buckeye, AZ 85326",,,,,,,,True,"Breakfast & Brunch,American (Traditional),Restaurants",Buckeye,4,Cracker Barrel,,-112.5569658,33.4414156,AZ,4.5
Hi1eTIyZ9QA3RATHrVVl7g,"3933 E Indian School Rd
Phoenix, AZ 85018",06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,07:00 - 13:00,,True,"Food,Breakfast & Brunch,Coffee & Tea,Restaurants",Phoenix,12,White Cup Coffee,,-111.9955077,33.4943965,AZ,4.5
2nzUx_M8Szyzsf4CszHasw,"535 W Iron Ave
Ste 131
Mesa, AZ 85210",07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,07:00 - 14:30,True,"Breakfast & Brunch,American (Traditional),Restaurants",Mesa,209,Crackers & Co Cafe,,-111.843786,33.383949,AZ,4.5
