business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
1LVq-vrSkNSD0EIIBLnlSw,"4011 S Buffalo Dr
Ste B106
Spring Valley
Las Vegas, NV 89147",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,True,"Chinese,Restaurants",Las Vegas,6,Oasis Asian Kitchen,Spring Valley,-115.2623677,36.11654710000001,NV,5.0
7_985OI8KAdEFmp37vuI-w,"112 St Stephen St
Stockbridge
Edinburgh EH3 5AD",17:00 - 23:00,,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,True,"Chinese,Restaurants",Edinburgh,9,Karen's Unicorn,"Stockbridge,New Town",-3.2049816000000004,55.9585642,EDH,5.0
llZgzQwyy6fgXctdP8NuAw,"95 Inglis Gn Road
Edinburgh EH14 2EZ",,,,,,,,True,"Fast Food,Chinese,Restaurants",Edinburgh,5,Mister Lees,,-3.2559102,55.9250363,EDH,5.0
si8CU5aavaqWeQ-HPCyB5A,"2480 Homer Watson Boulvard
Kitchener, ON N2P 2R5",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 23:00,11:00 - 23:00,11:00 - 22:00,True,"Thai,Vietnamese,Chinese,Restaurants",Kitchener,4,Mango King,,-80.411922,43.387164,ON,5.0
A6lYAXeojy1g_l8wr-zzCQ,"1535 N Dysart Rd
A-3
Avondale, AZ 85392",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:30,11:00 - 21:00,11:00 - 21:00,True,"Chinese,Restaurants",Avondale,3,AJK Chinese Cusine,,-112.33821411707899,33.4617520782487,AZ,5.0
YAKjcrBjkF3Q3BQSggtwOA,"183 W Apache Trl
Ste 104
Apache Junction, AZ 85120",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,True,"Chinese,Restaurants",Apache Junction,31,Lotus Garden,,-111.54791604727501,33.4120328531029,AZ,5.0
8U46CxZHRPuGRdnq2dFW4Q,"619 Wild Ginger Avenue
Waterloo, ON N2V 2S9",,,,,,,,True,"Chinese,Restaurants",Waterloo,5,Sogo Cuisine,,-80.59392640000002,43.47044870000001,ON,5.0
aJXTOpOX9M81YkS4LnWXqQ,"2100 E Lake Mead Blvd
North Las Vegas, NV 89030",,,,,,,,True,"Chinese,Restaurants",North Las Vegas,6,MB China,,-115.1198297,36.1959125,NV,5.0
jM-vUiQqkHDanbUezYAgSg,"2817 E Washington Ave
Starkweather - Yahar
Madison, WI 53704",,,,,,,,False,"Chinese,Restaurants",Madison,3,Noodle Express,Starkweather - Yahar,-89.3447941,43.10288679999999,WI,5.0
h9RR2Gu6hoGPiW4afh7zhQ,"4983 W Flamingo Rd
Las Vegas, NV 89103",,,,,,,,True,"Japanese,Chinese,Restaurants",Las Vegas,7,Winter In July - A Pop-Up Lunch with Yonaka and Snow Shavery,,-115.20973700000002,36.114935,NV,5.0
D464BsN8eGzFrYs-Rgpfdw,"66 S Dobson Rd
Ste 127
Mesa, AZ 85202",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,True,"Szechuan,Chinese,Restaurants",Mesa,3,Kung Fu Gyoza,,-111.875779,33.413158,AZ,4.5
B6sT5YGBYB9KfhkiZtzQ4A,"10325 E Riggs Rd
Ste 112
Sun Lakes, AZ 85248",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,12:00 - 21:00,True,"Chinese,Restaurants",Sun Lakes,32,Asian Grill,,-111.8588719,33.2181007,AZ,4.5
Unk6ToZjPfHBPWiGOwqVeA,"6245 W Chandler Blvd
Chandler, AZ 85226",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,16:00 - 22:00,True,"Chinese,Restaurants",Chandler,6,Queen's Bowl Chinese Food,,-111.951304,33.3052386,AZ,4.5
-7Pwuxq7C04iKBiE6haISQ,"247 King Street N
Waterloo, ON N2J 4V2",,,,,,,,True,"Chinese,Restaurants",Waterloo,7,Tasty Home Kitchen,,-80.5251994,43.4763851,ON,4.5
8HCC8NuJmdHnEg2XC00NPg,"2980 S Durango Dr
Ste 101
Westside
Las Vegas, NV 89117",11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:00,True,"Thai,Japanese,Chinese,Restaurants",Las Vegas,376,Pan Asian,Westside,-115.278458,36.134956,NV,4.5
Lfjh90yNwBiUIGmVwM4ImA,"4416 E Bonanza Rd
Sunrise
Las Vegas, NV 89110",,,,,,,,True,"Fast Food,Chinese,Restaurants",Las Vegas,4,Panda Express,Sunrise,-115.0795963,36.1738738,NV,4.5
mhuiV0Q3wDZH7VYtcpuYgw,"5595 Simmons St
North Las Vegas, NV 89031",,,,,,,,True,"Chinese,Restaurants",North Las Vegas,7,Panda Express,,-115.17985690000002,36.2633616,NV,4.5
hic_sUwlw1NyAM6eG7x5RA,"1602 S 7th Ave
Phoenix, AZ 85007",,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 22:00,10:30 - 22:00,11:30 - 21:00,True,"Chinese,Restaurants",Phoenix,6,Liyuen,,-112.082832336426,33.4329605102539,AZ,4.5
orRtROuWoOZWKdfgzgFXJA,"13/14 Dalziel Place
Edinburgh EH7 5TP",,,,,,,,True,"Chinese,Restaurants",Edinburgh,3,Xanadu Chinese Restaurant,,-3.1612213,55.9565036,EDH,4.5
kiA-L7r9uHh2bqUPxuCzNQ,"8560 W Desert Inn Rd
Westside
Las Vegas, NV 89117",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:30,11:00 - 22:30,11:00 - 22:00,True,"Thai,Asian Fusion,Chinese,Restaurants",Las Vegas,25,Oriental House,Westside,-115.278283730149,36.129685963536794,NV,4.5
m2M7X5ItFvhOC7a6B7JcDg,"3049 W Agua Fria Fwy
Phoenix, AZ 85027",11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,11:30 - 22:00,11:30 - 22:00,11:30 - 21:30,True,"Asian Fusion,Chinese,Restaurants",Phoenix,56,George and Sons,,-112.1218935,33.670221600000005,AZ,4.5
a_wK-2KhPu-8DAwwRObr8A,"2401 E Baseline Rd
Ste 118
Gilbert, AZ 85234",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 21:00,11:00 - 21:00,10:00 - 20:00,True,"Thai,Vietnamese,Cantonese,Chinese,Restaurants",Gilbert,102,Simi's Cafe,,-111.77975068285299,33.3788895536548,AZ,4.5
jRRXj-_BhNvmxG8I568uKg,"3306 A University Ave
Madison, WI 53705",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,True,"Food,Food Delivery Services,Chinese,Restaurants",Madison,24,Double 10,,-89.4443184,43.0752904,WI,4.5
Bt2JuKNLqSnVympH-mvEVA,"4602 Monona Dr
Lake Edge
Monona, WI 53716",,,,,,,,True,"Chinese,Restaurants",Monona,5,Joe's Kitchen,Lake Edge,-89.3255767822266,43.0701103210449,WI,4.5
0LBv0QQK9L6ArPkO4eXjJA,"510 E Baseline Rd
D3
Phoenix, AZ 85042",,,,,,,,True,"Chinese,Restaurants",Phoenix,17,Hong Kong Kitchen 3,,-112.0663223,33.3777609,AZ,4.5
