business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
RUg5N3QFiJagKlC4qk0Orw,"1717 S Decatur Blvd
Booth G-04
Westside
Las Vegas, NV 89102",,,,,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,True,"Food,Desserts,Shaved Ice,Hawaiian,Restaurants",Las Vegas,16,Sno Shack Hawaiian Shave Ice,Westside,-115.20555496215799,36.150801252133796,NV,5.0
OjrgRcLvYttRGQCew44cOQ,"4845 S Fort Apache Rd
Spring Valley
Las Vegas, NV 89147",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 21:00,12:00 - 20:00,True,"Food,Desserts,Restaurants,Creperies,Ice Cream & Frozen Yogurt",Las Vegas,51,Tasty Crepes,Spring Valley,-115.2979249,36.1018156,NV,5.0
DInchTMpKhM-G52cNKLtOg,"10 S Allen St
Regent
Madison, WI 53726",,11:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 16:00,,True,"Food,Desserts,Gluten-Free,Bakeries,Restaurants",Madison,15,Humble,Regent,-89.4239575,43.0676879,WI,4.5
4Vai2JNI48yffzQ7CMezBA,"15610 N 35th Ave
Phoenix, AZ 85053",10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,09:00 - 17:00,True,"Food,Desserts,Delis,Pizza,Restaurants",Phoenix,49,Villa Deli,,-112.134346,33.62758,AZ,4.5
jcCDwwBoPtvHA2EuBzGP1Q,"The Strip
Las Vegas, NV 89109",,,,,,,,False,"Food,Desserts,Sandwiches,Food Stands,Restaurants",Las Vegas,16,Lulu's On The Move,The Strip,-115.1711298,36.128561,NV,4.5
T795wfMBGCxsTYif-juSrA,"42 London Street
New Town
Edinburgh EH3 6LX",08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,10:00 - 16:00,False,"Food,Desserts,Cafes,French,Restaurants",Edinburgh,5,The French Fancies,New Town,-3.1912907,55.9592031,EDH,4.5
0lN71KKnrMMuRDIssDVGww,"122 State St
Capitol
Madison, WI 53703",08:00 - 17:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,09:00 - 13:00,False,"Bakeries,Food,American (Traditional),Desserts,Restaurants",Madison,17,The Baker's Window,Capitol,-89.38753990000002,43.0747765,WI,4.5
W7UtoDde1ekOmsEeMl8XCw,"3602 W Bell Rd
Unit D3
Glendale, AZ 85308",,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 17:00,10:00 - 13:00,True,"Food,Desserts,Delis,Bakeries,Restaurants",Glendale,25,European Bakery and Cafe,,-112.1374082,33.639608100000004,AZ,4.5
bxEd1ust_wI0Br-HLnEy0Q,"8787 N Scottsdale Rd
Scottsdale, AZ 85253",07:30 - 16:00,08:00 - 15:00,08:00 - 15:00,08:00 - 15:00,08:00 - 15:00,08:00 - 15:00,08:00 - 15:00,True,"Food,Desserts,Creperies,French,Restaurants",Scottsdale,89,Chez Vous Crepes,,-111.9244817,33.566109000000004,AZ,4.5
OEWW22gUG_JADQ3h4ajXtg,"1348 W Roosevelt St
Phoenix, AZ 85007",10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 14:00,True,"Food,Desserts,Bakeries,Vegan,Restaurants",Phoenix,63,Treehouse Bakery,,-112.09080420434499,33.458704724907896,AZ,4.5
4KN-PSLwo_oLw2WZlumwHw,"67 Nicolson Street
Newington
Edinburgh EH8 9BZ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,True,"Food,Desserts,Coffee & Tea,Indian,Restaurants",Edinburgh,28,10-to-10 In Delhi,Newington,-3.1847414,55.945489,EDH,4.5
EQgMEDJ3Tkln-8UBlOuKwg,"4550 E Cactus Rd
Phoenix, AZ 85032",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 18:00,True,"Food,Desserts,American (New),Restaurants",Phoenix,6,Moga Crepes,,-111.9812072,33.599043200000004,AZ,4.5
QNAH_yX7VZj-dQRwDKxsrQ,"3270 E Tropicana Ave
Eastside
Las Vegas, NV 89121",07:00 - 17:00,07:00 - 17:00,07:00 - 17:00,07:00 - 17:00,07:00 - 17:00,07:00 - 17:00,,True,"Bakeries,Food,Restaurants,Sandwiches,Desserts",Las Vegas,64,Great Buns Bakery,Eastside,-115.103546,36.100745,NV,4.5
66lcsXVFNVp1tPMHheSepg,"Edinburgh Airport
Edinburgh EH12 9DN",,,,,,,,True,"Food,Desserts,Sandwiches,Soup,Restaurants",Edinburgh,8,Eat,,-3.36344718933106,55.948599081419296,EDH,4.5
OtSFw-mQAHEIFoSc7Y9AFw,"W25709 Sullivan Rd
Summerlin
Trempealeau, WI 54661",17:00 - 20:00,17:00 - 20:00,,17:00 - 20:00,17:00 - 22:00,17:00 - 22:00,11:30 - 20:00,True,"Food,Desserts,Seafood,Restaurants,Italian",Trempealeau,8,Sullivan's Supper Club,Summerlin,-115.333127,36.159157,WI,4.0
kwEQ3uY9Jwmknb5kNg3UlA,"PALAZZO Resort Hotel Casino
3327 Las Vegas Blvd S, Ste 1580
The Strip
Las Vegas, NV 89109",06:00 - 02:00,06:00 - 02:00,06:00 - 02:00,06:00 - 02:00,06:00 - 03:00,06:00 - 03:00,06:00 - 02:00,True,"Food,Desserts,American (Traditional),American (New),Restaurants",Las Vegas,699,Grand Lux Cafe,The Strip,-115.17033,36.123618,NV,4.0
uUsfpN81JCMKyH6c0D0bTg,"1910 Village Center Cir
Ste 6
Summerlin
Las Vegas, NV 89134",,,,,,,,True,"Food,Desserts,Italian,Pizza,Restaurants",Las Vegas,6,Rocco's NY Pizza & Pasta,Summerlin,-115.3041999,36.19310460000001,NV,4.0
kxDGexkbP30fBvxVI0CzFQ,"1331 E Northern Ave
Phoenix, AZ 85020",10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,,True,"Food,Desserts,Italian,Pizza,Restaurants",Phoenix,93,Stumpys Pizza,,-112.053525918855,33.5528379672612,AZ,4.0
xt73UhzigC8qzbcsOw8CJg,"7123 N 58th Ave
Glendale, AZ 85301",,11:00 - 16:00,11:00 - 16:00,11:00 - 16:00,11:00 - 16:00,,,True,"Food,Desserts,Sandwiches,Restaurants",Glendale,11,Cee Cee's On The Corner,,-112.1833135,33.5408597,AZ,4.0
j0Uc-GuOe-x9_N_IK1KPpA,"3724 E Indian School Rd
Phoenix, AZ 85018",10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 20:00,16:00 - 20:00,11:00 - 21:00,True,"Food,Desserts,Pizza,Sandwiches,Restaurants",Phoenix,37,Slice of Sicily,,-112.000651,33.495562400000004,AZ,4.0
7h0-KtLbYH1gu6QBv_-jxg,"5165 S Fort Apache Rd
Ste 160
Spring Valley
Las Vegas, NV 89148",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 18:00,07:00 - 18:00,False,"Food,Desserts,Breakfast & Brunch,Restaurants",Las Vegas,151,WaffleS Cafe,Spring Valley,-115.2973533,36.0944116,NV,4.0
mVJIPDv-qfYlatHYeP_saQ,"Planet Hollywood Resort and Casino
The Strip
Las Vegas, NV 89109",17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:30,17:00 - 23:30,17:00 - 23:00,True,"Food,Desserts,Steakhouses,Restaurants",Las Vegas,254,Strip House Steak House,The Strip,-115.17205247990101,36.110118354537896,NV,4.0
jOuERtVf7QePnK9ZcdH5XA,"The Venetian Hotel & Casino
3355 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109",00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,True,"Food,Desserts,American (Traditional),American (New),Restaurants",Las Vegas,1497,Grand Lux Cafe,The Strip,-115.170122460117,36.1222764410517,NV,4.0
s5roBvbA79SQaO4FHkJgGw,"4130 N 19th Ave
Phoenix, AZ 85015",10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 22:00,16:00 - 22:00,,True,"Food,Desserts,Pizza,Sandwiches,Restaurants",Phoenix,69,My Mother's Restaurant,,-112.0999297,33.4956034,AZ,4.0
zBacxYJdcxmJETelXMt9aw,"665 S Green Valley Pkwy
Ste 100
Henderson, NV 89052",08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,09:00 - 16:00,09:00 - 16:00,True,"Food,Desserts,Breakfast & Brunch,Bakeries,Restaurants",Henderson,168,Layers Bakery Cafe,,-115.0832955,36.0048888,NV,4.0
RtwOc-n_RkiUuDGaNfCsNw,"8707 S Priest Dr
Ste 101
Tempe, AZ 85284",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 17:00,True,"Food,Desserts,Cheesesteaks,Sandwiches,Restaurants",Tempe,180,Forefathers Gourmet Cheesesteaks & Fries,,-111.9625582,33.3356387,AZ,4.0
uCoNIQty4nPrhn_WHo110A,"3500 South Las Vegas Blvd.
The Strip
Las Vegas, NV 89109",11:15 - 23:30,11:15 - 23:30,11:15 - 23:30,11:15 - 23:30,11:15 - 00:30,10:15 - 00:30,10:15 - 23:30,True,"Food,Desserts,American (Traditional),American (New),Restaurants",Las Vegas,272,The Cheesecake Factory,The Strip,-115.1729418,36.1183949,NV,4.0
4DDbIvNtzfhLRwz-EOLFDA,"21001 N Tatum Blvd
Ste 1630
Phoenix, AZ 85050",10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:00,True,"Food,Desserts,Asian Fusion,Chinese,Restaurants",Phoenix,8,Panda Express,,-111.9746066,33.678615,AZ,4.0
BITUQfpxGgwU5vdS7zlgeQ,"5235 E Southern Ave
Ste 107
Mesa, AZ 85206",08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,,True,"Food,Desserts,Breakfast & Brunch,Sandwiches,Restaurants",Mesa,34,Cafe 8,,-111.7180642,33.3937103,AZ,4.0
HAgGoHAT9Ar98jjBvhucPA,"8955 S. Eastern Avenue
Southeast
Green Valley, NV 89123",,,,,,,,False,"Food,Desserts,American (New),Fondue,Restaurants",Green Valley,14,The Melting Pot,Southeast,-115.1189425,36.0265303,NV,4.0
ScSwwoFcIC0mf1vU-6p8eQ,"7729 S Rainbow Blvd
Ste 9B
Southwest
Las Vegas, NV 89113",11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,True,"Food,Desserts,Coffee & Tea,Cafes,Restaurants",Las Vegas,32,Ice Monster Cafe,Southwest,-115.24417524921301,36.048129176532896,NV,4.0
