business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
LzpR_jE6VIutJ08s2cdRrw,"4626 N 16th St
Phoenix, AZ 85016",11:00 - 14:00,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,17:00 - 21:30,,True,"French,Restaurants",Phoenix,205,Coup Des Tartes,,-112.047846,33.504777,AZ,4.0
ET9VpUk1UgjMN5DJRV0yOw,"2584 E Camelback Rd
Phoenix, AZ 85016",,,,,,,,False,"American (Traditional),French,Restaurants",Phoenix,10,Christopher's Fermier Brasserie & Paola's Wine Bar,,-112.0253849,33.5096014,AZ,3.5
MUsqPXthMdHoPEow9M3MfA,"3102 E Camelback Rd
Phoenix, AZ 85016",,,,,,,,False,"Bakeries,Food,Creperies,French,Restaurants",Phoenix,7,La Madeleine French Bakery & Cafe,,-112.01556,33.510311,AZ,3.0
wftoNIA0Q8nX-Da47psBCA,"7217 E 4th Ave
Scottsdale, AZ 85251",08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 22:00,08:00 - 22:00,09:00 - 14:00,True,"Bakeries,Food,Sandwiches,French,Restaurants",Scottsdale,91,Au Petit Four,,-111.9253728,33.4978182,AZ,3.5
PuHucejs4LG3hSXnrwi9-g,"2320 E Osborn Rd
Phoenix, AZ 85016",,,,,,,,False,"Wine Bars,Bars,Nightlife,French,Restaurants",Phoenix,44,Sophie's French Bistro,,-112.031296,33.487817,AZ,4.0
VpSiOW1PapVmZyyRBK_GBQ,"3930 E Camelback Rd
Ste 202
Phoenix, AZ 85018",,,,,,,,True,"French,Restaurants",Phoenix,96,Vincent's On Camelback,,-111.9963126,33.5100523,AZ,3.5
oc0Wl6ktfMLb5VZ2Uz6M2A,"3930 E Camelback Rd
Phoenix, AZ 85018",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 14:00,True,"Breakfast & Brunch,Pizza,French,Restaurants",Phoenix,93,Vincent Market Bistro,,-111.996602341533,33.509973809123,AZ,4.5
GIGI8bJfN6HyPzmEW-QqjA,"15034 N Scottsdale Rd
Scottsdale, AZ 85254",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,True,"French,Restaurants",Scottsdale,259,Zinc Bistro,,-111.92802429199199,33.624036015122996,AZ,4.0
v_M8BMz3O93iwFtpkCT9nA,"5190 S Valley View Blvd
Las Vegas, NV 89118",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,False,"Sandwiches,French,Restaurants",Las Vegas,5,Normandie,,-115.189211,36.095691,NV,4.0
lqx--hrRwe0oK6WnFYNXlg,"2620 Regatta Dr
Ste 106
Summerlin
Las Vegas, NV 89128",10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,16:30 - 22:00,10:30 - 16:00,10:30 - 16:00,16:30 - 22:00,True,"Wine Bars,Bars,Nightlife,French,Restaurants",Las Vegas,294,Marché Bacchus,Summerlin,-115.268455505371,36.2074279785156,NV,4.0
uwjl8UJhUINe_RwbgZsgsg,"508 State St
Capitol
Madison, WI 53703",,,,,,,,False,"French,Restaurants",Madison,12,Nadia's Restaurant & Grapevine Lounge,Capitol,-89.3937426,43.0749334,WI,3.0
7lp13T_FUmX1XjU2wen_qw,"10315 N Scottsdale Rd
Scottsdale, AZ 85253",,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,,True,"American (New),French,Restaurants",Scottsdale,84,Razz's Restaurant & Catering,,-111.9258314,33.5802421,AZ,4.0
NkTBJP2YOwUAUNzRqR2gJg,"8900 E Pinnacle Peak Rd
Ste B1
Scottsdale, AZ 85255",,,,,,,,False,"American (New),French,Restaurants",Scottsdale,18,Bistro Provence,,-111.888462,33.700033,AZ,4.0
1lS4-F785wYGn6u2dzUgow,"7030 E Bella Vista Dr
Cave Creek, AZ 85331",11:30 - 15:00,11:30 - 15:00,17:00 - 21:00,17:00 - 21:00,11:30 - 15:00,11:30 - 15:00,17:00 - 21:30,True,"French,Restaurants",Cave Creek,28,Le Sans Souci Restaurant,,-111.9289181,33.8284698,AZ,3.5
a3HmtiW3WzUvKxWy9Fezkg,"401 S 6th Street
Downtown
Las Vegas, NV 89101",18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,,False,"French,Restaurants",Las Vegas,8,Andre's,Downtown,-115.141552,36.164944,NV,4.0
x3mVrFxyjNXQ7JNqGpw4qQ,"4983 W Flamingo Rd
Las Vegas, NV 89103",,,,,,,,False,"Bakeries,Food,French,Restaurants",Las Vegas,4,Josette's Bistro,,-115.209737,36.114935,NV,4.0
DoEMzev54WS8_lVLJ3NoqQ,"Palms Casino Resort
4321 W Flamingo Rd
Las Vegas, NV 89103",18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,18:00 - 22:00,True,"French,Restaurants",Las Vegas,233,Alizé,,-115.194879770279,36.1147714669624,NV,4.0
equkECCa5WxzICTJr3YpBg,"3355 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109",,,,,,,,False,"French,Restaurants",Las Vegas,4,Lutece Restaurant,The Strip,-115.1696112,36.1214517,NV,4.0
9QSK3jux4ZOOfZGpNaDV0A,"Neiman Marcus
3200 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109",11:30 - 15:00,11:30 - 15:00,11:30 - 15:00,11:30 - 15:00,11:30 - 15:00,11:30 - 15:00,,False,"American (New),French,Restaurants",Las Vegas,5,Mariposa,The Strip,-115.164237976074,36.1255035400391,NV,4.5
ASOiJ8MmbBTgK2D1_MQrqg,"Paris Hotel
3655 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109",11:30 - 15:30,17:00 - 22:30,17:00 - 22:30,11:30 - 15:30,11:30 - 15:30,11:00 - 15:30,17:00 - 22:30,True,"Steakhouses,French,Restaurants",Las Vegas,810,Eiffel Tower Restaurant,The Strip,-115.174189275928,36.1104848411617,NV,4.0
