business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
GUffi7bnIY0kG8dHKDLPkg,"97 Hanover Street
New Town
Edinburgh EH2 1DJ",,,,,,,,True,"Indian,Buffets,Restaurants",Edinburgh,4,Ashoka,New Town,-3.1975974,55.9543937,MLN,5.0
KkILzOZ_Q8VOnqZCjweXNA,"99A Bruntsfield Place
Bruntsfield
Edinburgh EH10 4HG",10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,True,"Food,Indian,Street Vendors,Restaurants",Edinburgh,8,Bollywood The Coffee Box,Bruntsfield,-3.20787906646729,55.9364741170263,EDH,5.0
C9pIR3vVgtO_Uo6Daq3Tzw,"1845 E Broadway Rd
Ste 101
Tempe, AZ 85282",11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,11:00 - 15:00,17:00 - 22:00,True,"Indian,Buffets,Restaurants",Tempe,18,Nandini Indian Cuisine,,-111.9075196,33.406601,AZ,5.0
qsmCTI0O_Nydfjk7PZYBCw,"2051 West Warner Rd
Ste 7
Chandler, AZ 85224",,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,False,"Indian,Restaurants",Chandler,8,Indian Paradise,,-111.877431,33.3350308,AZ,4.5
D_BMUHbZk67hzRcK3xQQmg,"3641 W Sahara Ave
Westside
Las Vegas, NV 89102",11:00 - 15:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,True,"Indian,Restaurants",Las Vegas,386,Mount Everest India's Cuisine,Westside,-115.189818,36.143955,NV,4.5
hOZiObWNHb_pd0-m8FZ74A,"56 South Clerk Street
Newington
Edinburgh EH8 9PS",17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,True,"Indian,Fast Food,Restaurants",Edinburgh,29,Noor Indian Takeaway,Newington,-3.1806627,55.9401001,EDH,4.5
dMfNQ8ZmkhBDFC2pl-DLvw,"9 Dundee Terrace
Edinburgh EH11 1DL",,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,True,"Indian,Restaurants",Edinburgh,12,Guru Balti Restaurant,,-3.2207784,55.93961,EDH,4.5
0YVzWax3LlWYECacU-wUqQ,"87 Easter Rd
Leith
Edinburgh EH7 5PW",17:00 - 11:00,17:00 - 11:00,17:00 - 11:00,17:00 - 11:00,17:00 - 11:00,17:00 - 11:00,17:00 - 11:00,True,"Indian,Fast Food,Restaurants",Edinburgh,8,Shapla Takeaway,Leith,-3.1716061,55.9600659,EDH,4.5
R-qwpRdNQdEI1QEe_HyrcQ,"1 High Street
South Queensferry EH30 9PP",,,,,,,,True,"Pakistani,Indian,Restaurants",South Queensferry,3,Queens Spice,,-3.3973138,55.99064549999999,EDH,4.5
J0U20ivx1cliqmOHS8KRgg,"855 King Street E
Cambridge, ON N3H 3P2",,,,,,,,True,"Indian,Restaurants",Cambridge,6,Fusion,,-80.3559723,43.3946203,ON,4.5
