business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
BMjggIgOghBMEXPo8q7q3w,"6505 N 7th St
Phoenix, AZ 85014",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 15:00,21:30 - 00:00,11:00 - 21:00,True,"Kosher,Italian,Pizza,Restaurants",Phoenix,5,LaBella Pizzeria and Restaurant,,-112.064508,33.5313101,AZ,5.0
4E9PSb3q40oyjXfujUKqXQ,"45 Morningside Road
Bruntsfield
Edinburgh EH10 4AZ",,10:00 - 14:30,17:00 - 22:00,17:00 - 22:00,10:00 - 14:30,10:00 - 14:30,10:00 - 14:30,True,"Italian,Pizza,Restaurants",Edinburgh,4,Nonna's Kitchen,Bruntsfield,-3.2098185000000004,55.9321024,EDH,5.0
PS2vBk61vgCUcrNCU9vTdw,"31 Manitour Drive
Unit 3
Kitchener, ON N2C 1K9",,,,,,,,True,"Restaurants,Cafes,Italian",Kitchener,3,Nostra Cucina,,-80.4512293092622,43.4164008480162,ON,5.0
M3G_xbxxfkupkemCZzXh9g,"7770 W Ann Rd
Northwest
Las Vegas, NV 89149",,,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,True,"Seafood,Restaurants,Italian",Las Vegas,5,North Beach Italian Bistro,"Northwest,Centennial",-115.2654135,36.2636911,NV,5.0
10UcN8MF1kQiyTJAfHKvfQ,"3360 W Sahara Ave
Ste 110
Westside
Las Vegas, NV 89102",,,,,,,,True,"Delis,Italian,Sandwiches,Restaurants",Las Vegas,3,Courtyard Deli,Westside,-115.187809,36.145672,NV,5.0
JBMfMZS_Oac8_ktOULqTAg,"3441 W Sahara Ave Ste B2
Westside
Las Vegas, NV 89102",,,,,,,,False,"Delis,Italian,Restaurants",Las Vegas,4,Montesano's Italian Deli,Westside,-115.1875972,36.1443115,NV,5.0
_WHc6Iwi40s2gcvkotEoOQ,"7910 N 43rd Ave
Ste 6
Glendale, AZ 85301",10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,10:30 - 20:00,,True,"Italian,Pizza,Sandwiches,Restaurants",Glendale,6,Submarinos,,-112.152221,33.551259,AZ,5.0
ylCLWOLH7eAi2aEtsS9I-Q,"4864 W. Lone Mountain Rd.
Northwest
Las Vegas, NV 89130",,,15:00 - 21:00,15:00 - 21:00,15:00 - 21:00,15:00 - 21:00,15:00 - 21:00,True,"Restaurants,Italian",Las Vegas,7,Don Michael's,Northwest,-115.2089199,36.2472804,NV,5.0
ZjtM7uKu9ZdsVMj_n5besg,"The Venetian Resort, Hotel and Casino
3377 Las Vegas Blvd S, Ste 2095
The Strip
Las Vegas, NV 89145",,,,,,,,True,"Restaurants,Italian",Las Vegas,8,Zeffirino's,The Strip,-115.17,36.1212,NV,5.0
zNa_IxR49eFTs_EYLE2ZQw,"9500 W Sahara Ave
Westside
Las Vegas, NV 89117",,,,,,,,False,"Restaurants,Italian",Las Vegas,5,Bertolini's Authentic Trattoria,Westside,-115.301818,36.1449499,NV,5.0
vb8wZULbsaMxLnf-7Rdbog,"85- 87 Newington Road
Newington
Edinburgh EH9 1QW",12:00 - 14:00,12:00 - 14:00,12:00 - 14:00,12:00 - 14:00,17:00 - 23:00,12:00 - 14:00,17:00 - 23:00,True,"Restaurants,Italian",Edinburgh,10,Positano,Newington,-3.1779889,55.9379872,EDH,5.0
OWfB7JDng-pgVq31gqzu4g,"5447 S Rainbow Blvd
Ste E6
Spring Valley
Las Vegas, NV 89118",06:30 - 21:00,06:30 - 21:00,06:30 - 21:00,06:30 - 21:00,06:30 - 21:00,10:00 - 22:00,10:00 - 19:00,False,"Restaurants,Pizza,Italian",Las Vegas,12,Made In Italy Pizzeria Romana,Spring Valley,-115.242873,36.089649,NV,5.0
-iErUyidzk-c02Od6GDG2w,"271 King Street West
Kitchener, ON N2G 1B1",,,,,,,,True,"Burgers,Italian,Pizza,Restaurants",Kitchener,8,271 West,,-80.493124,43.451143,ON,5.0
