business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
9vgu6o1CwP5NakVkb29z0g,"89 E Towne Mall
Madison, WI 53704",,,,,,,,True,"Japanese,Restaurants",Madison,3,Sarku Japan,,-89.3043221,43.1280801,WI,4.5
kaIue7GRCmkPzDeHDBTttQ,"1401 N Central Ave
Phoenix, AZ 85004",10:30 - 18:30,10:30 - 18:30,10:30 - 18:30,10:30 - 18:30,10:30 - 18:30,,,True,"Japanese,Sushi Bars,Asian Fusion,Restaurants",Phoenix,145,Phoenix Blue Fin,,-112.073568999767,33.4640982988196,AZ,4.0
oSKT5oZX1NWYaHwOWL5lag,"2815 N Central Ave
Phoenix, AZ 85004",11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,17:00 - 21:00,11:00 - 14:30,17:00 - 21:30,,True,"Japanese,Restaurants",Phoenix,40,Ichi Ban Japanese Restaurant & Sushi,,-112.0736133,33.4793963,AZ,3.5
L19_1cG2ALVjdBQ456h26A,"4050 N Central Ave
Phoenix, AZ 85012",10:30 - 20:30,10:30 - 20:30,10:30 - 20:30,10:30 - 20:30,10:30 - 20:30,11:00 - 20:30,,True,"Fast Food,Japanese,Restaurants",Phoenix,23,Yoshi's Restaurant,,-112.074398,33.4940659,AZ,2.5
AkOruz5CrCxUmXe1p_WoRg,"914 E Camelback Rd
Phoenix, AZ 85014",11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 22:30,11:00 - 22:30,11:00 - 21:30,True,"Asian Fusion,Italian,Japanese,Restaurants",Phoenix,494,Cherryblossom Noodle Cafe,,-112.0610062,33.5098142,AZ,4.0
W8WyVVxinyRjzP8gJa7ILg,"914 E Camelback Rd
Ste 5
Phoenix, AZ 85014",10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,True,"Japanese,Restaurants",Phoenix,20,Tokyo Express,,-112.0608177,33.5093372,AZ,3.0
c0RSs2KYK5Y-ZlSrNq9LyA,"6845 N 16th St
Phoenix, AZ 85016",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,11:00 - 21:00,True,"Sushi Bars,Japanese,Restaurants",Phoenix,211,Moto Sushi,,-112.0474809,33.5369963,AZ,3.5
RoErsFPM0A-1SCqD-FRV_Q,"1949 E Camelback Rd
Ste 164
Phoenix, AZ 85016",,,,,,,,False,"Japanese,Restaurants",Phoenix,4,Kyoto Bowl,,-112.040116,33.507557,AZ,1.0
NDKkce5Au-o_OhIt5f2ZBg,"3160 E Camelback Rd
Phoenix, AZ 85016",,,,,,,,False,"Sushi Bars,Japanese,Restaurants",Phoenix,110,Zen 32,,-112.01408,33.5100455,AZ,3.0
H8QFth3DVsYbkJ2M7bTvmg,"5534 E Thomas Rd
Phoenix, AZ 85018",,,,,,,,False,"Japanese,Restaurants",Phoenix,4,Sushi Mishima Restaurant,,-111.9619215,33.4800263,AZ,3.0
QplY4p8HHJY0ncbgcpb8WQ,"2910 N 32nd St
Ste 160
Phoenix, AZ 85018",,,,,,,,True,"Japanese,Restaurants",Phoenix,6,Kyoto Bowl,,-112.0128995,33.4807241,AZ,1.5
n7dkpRLUl7C6zLRRXk_BDg,"4731 E Greenway Rd
Phoenix, AZ 85032",,,,,,,,True,"Japanese,Restaurants",Phoenix,7,Samurai Sam's Teriyaki Grill,,-111.979556,33.625558,AZ,3.0
r7Ge8_c5Y2TXthb4CSjzaA,"12615 N Tatum Blvd
Phoenix, AZ 85032",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,17:00 - 21:00,True,"Sushi Bars,Japanese,Restaurants",Phoenix,111,Shogun,,-111.9797159,33.5999386,AZ,3.0
3N__CAwM5VZOhRKmxMtImw,"13637 N Tatum Blvd
Phoenix, AZ 85032",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 21:00,12:00 - 20:00,True,"Japanese,Restaurants",Phoenix,75,Eastwind Restaurant,,-111.9778024,33.6106247,AZ,3.0
