business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
PX3e3qtBx_5VC3vqq47jpQ,"1116 S Dobson Rd
Mesa, AZ 85202",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,,True,"Korean,Restaurants",Mesa,164,Hodori Restaurant,,-111.8751042,33.3948018,AZ,4.0
QQvzErQ8Ijdy3SyEmYVG7Q,"1949 W Ray Rd
Chandler, AZ 85224",,,,,,,,False,"Korean,Japanese,Restaurants",Chandler,7,Takamatsu Restaurant,,-111.8743502,33.3190309,AZ,3.0
aLZoFhOmDtonrWJzUzh8TA,"6941 N Hayden Rd
Ste B2
Scottsdale, AZ 85250",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,16:00 - 21:00,True,"Korean,Thai,Chinese,Restaurants",Scottsdale,31,China Lite,,-111.906794671058,33.5370215832524,AZ,3.5
z29_Qhpju0M4fBkhNfdiqg,"10040 N 43rd Ave
Ste 1K
Glendale, AZ 85302",,,,,,,,False,"Korean,Restaurants",Glendale,5,Seoul Jung,,-112.152357,33.578533,AZ,3.5
UKKz4HdQC0aH9j5lLi4u8Q,"3920 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,True,"Korean,Barbeque,Restaurants",Las Vegas,307,Tofu Hut,Chinatown,-115.193426683545,36.1264888197184,NV,3.5
v8TQwyxEj4or2Yng6y0S7A,"4355 Spring Mountain Road
Chinatown
Las Vegas, NV 89102",11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,True,"Korean,Barbeque,Restaurants",Las Vegas,116,Korean Garden BBQ House,Chinatown,-115.197904,36.125908,NV,3.0
xxOQ7h6s3InV8o8DOVHlMA,"3909 W Sahara Ave
Ste 1
Westside
Las Vegas, NV 89102",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,10:30 - 20:00,True,"Korean,Asian Fusion,Hawaiian,Restaurants",Las Vegas,415,Island Style,Westside,-115.1938661,36.1440209,NV,4.5
YqeK6ARj8ojseNCIYdg5WQ,"953 E Sahara Ave
Ste E28
Downtown
Las Vegas, NV 89104",,,,,,,,True,"Korean,Restaurants",Las Vegas,3,Seoul Korean Bar B Q Restaurant,Downtown,-115.1425224,36.1439448,NV,1.5
e15ZAv4Tcgkae-ZfCf3SXw,"953 E Sahara Ave
Eastside
Las Vegas, NV 89104",,,,,,,,True,"Korean,Barbeque,Restaurants",Las Vegas,11,Elephant BBQ Restaurant,Eastside,-115.1423943,36.1421289,NV,4.0
YkRwenPlQRloPFOX5l-iEA,"953 E Sahara Ave
Ste E18
Eastside
Las Vegas, NV 89104",,,,,,,,True,"Korean,Restaurants",Las Vegas,5,Sahara Korean Restaurant,Eastside,-115.1405587,36.1429063,NV,5.0
z4acTO-MlZQdkgJE9QCM3g,"1401 University Ave
Madison, WI 53715",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,12:00 - 21:00,12:00 - 21:00,False,"Korean,Japanese,Restaurants",Madison,5,Coreana,,-89.4090712,43.0732214,WI,3.5
bZX-b9fInWIk8j3Y50uBWQ,"2503 University Ave
Regent
Madison, WI 53705",11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,11:00 - 14:30,,True,"Korean,Restaurants",Madison,50,New Seoul Korean,Regent,-89.4288516,43.0720815,WI,3.5
Em8zrIuxwBXnIZMDMreErQ,"18 W Adams St
Phoenix, AZ 85003",10:30 - 14:30,10:30 - 14:30,10:30 - 14:30,10:30 - 14:30,10:30 - 14:30,,,True,"Korean,Japanese,Restaurants",Phoenix,27,Yasda Bento,,-112.0743318,33.4493946,AZ,3.0
u1szzmBt9M5s86s446watA,"4211 W Bethany Home Rd
Phoenix, AZ 85019",11:00 - 21:30,11:00 - 00:00,11:00 - 00:00,11:00 - 00:00,11:00 - 02:00,11:00 - 02:00,17:00 - 00:00,False,"Korean,Sushi Bars,Restaurants",Phoenix,10,Table Top Grill And Sushi,,-112.1496458,33.5237411,AZ,4.0
Lvf3N3cfLAmOc5y8Eg8KDg,"3002 N Arizona Ave
Chandler, AZ 85225",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:30,12:00 - 22:30,12:00 - 22:00,True,"Korean,Sushi Bars,Restaurants",Chandler,143,Takamatsu Of Chandler,,-111.84303,33.351089,AZ,3.5
2X79qKO11V2ALh32WtOIxA,"1801 E Tropicana Ave
Ste 12
Eastside
Las Vegas, NV 89119",,,,,,,,True,"Food,Grocery,Korean,Restaurants",Las Vegas,3,Seoul Market,"Eastside,Southeast,University",-115.1278021,36.1006803,NV,3.5
J1UcYfDS-YjBNesfzptKaw,"1801 E Tropicana Ave
Eastside
Las Vegas, NV 89119",,,,,,,,False,"Korean,Restaurants",Las Vegas,25,Min Sok Chon,"Eastside,Southeast",-115.127262,36.1000159,NV,4.0
7f21MbcOzrlE1kMYe12LMQ,"Venetian Hotel
3355 Las Vegas Blvd S
Eastside
Las Vegas, NV 89109",,,,,,,,False,"Chinese,Vietnamese,Sushi Bars,Japanese,Thai,Korean,Restaurants",Las Vegas,9,Tsunami Asian Grill & Sushi Bar,Eastside,-115.146372,36.124423,NV,4.5
E9ZsPtGovfEPHlMHkDdlQA,"Bellagio Resort &Casino
3600 S Las Vegas Blvd
The Strip
Las Vegas, NV 89109",11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,11:00 - 02:00,True,"Korean,Asian Fusion,Dim Sum,Chinese,Restaurants",Las Vegas,491,Noodles,The Strip,-115.176300531599,36.1122690547441,NV,3.0
cWFpyN49FRsFrNd3_cb50g,"3049 Las Vegas Blvd
Ste 20
The Strip
Las Vegas, NV 89109",00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,True,"Korean,Barbeque,Restaurants",Las Vegas,122,Kimchi Korean Bbq,The Strip,-115.1645622,36.1314967,NV,3.0
DTtIi7avC0Ed-tMZAAx4wA,"953 E Sahara Ave
#E9
Eastside
Las Vegas, NV 89136",11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,True,"Korean,Barbeque,Restaurants",Las Vegas,88,Jin Mee Korean BBQ Restaurant,Eastside,-115.1422063,36.1425179,NV,3.5
R1RjCYfRZm9inTDQVVpUGQ,"2820 S Alma School Rd
10
Chandler, AZ 85249",,,,,,,,False,"Food,Ice Cream & Frozen Yogurt,Korean,Sandwiches,Restaurants",Chandler,18,Fresco,,-111.8601,33.2644333,AZ,4.5
Ou21lwEBBlUNG3JRAFWFAA,"4214 W Dunlap Ave
Phoenix, AZ 85051",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,12:00 - 22:00,12:00 - 22:00,True,"Korean,Japanese,Restaurants",Phoenix,112,Takamatsu,,-112.1496637,33.5675268,AZ,3.5
Hb6n-TyLhEDdCyPyH3E3oQ,"3943 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,True,"Korean,Restaurants",Las Vegas,219,Dae Jang Keum Korean BBQ & Tofu Restaurant,Chinatown,-115.193578228354,36.1263962835073,NV,3.5
6Y-6Y6sy6qOQHrWI37zR1Q,"4920 W Thunderbird Rd
Ste 117
Glendale, AZ 85306",11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 02:00,11:00 - 02:00,11:00 - 23:00,True,"Korean,Sushi Bars,Japanese,Restaurants",Glendale,146,OHYA Sushi Korean Kitchen & Bar,,-112.165567972652,33.6116508042702,AZ,3.5
Rzg2-ugIG_UxQCN_JqXDcA,"3889 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,True,"Korean,Restaurants",Las Vegas,177,Mr Tofu,Chinatown,-115.1917,36.126437,NV,4.0
7PS_ozDjv5NnpdZGcOsDvQ,"2711 S Alma School Rd
Ste 14
Mesa, AZ 85210",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 23:00,11:00 - 23:00,16:00 - 21:00,True,"Korean,Restaurants",Mesa,42,Korean BBQ,,-111.857802,33.365763,AZ,3.5
_CG5zJAoNN6gszjhSyUcww,"501 N Arizona Ave
Chandler, AZ 85225",17:00 - 21:30,,17:00 - 21:30,11:00 - 15:00,17:00 - 21:30,11:30 - 21:30,11:30 - 21:30,True,"Korean,Restaurants",Chandler,157,Chodang,,-111.8411529,33.3118297,AZ,4.0
LE07Aw-kgW4OHpdBHWYe5g,"6475 W Charleston Blvd
Westside
Las Vegas, NV 89146",10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,,,True,"Korean,Restaurants",Las Vegas,31,Man Na,Westside,-115.2366394,36.1590182,NV,4.5
vQo_kFaVjVa9H_nhRCz-Dw,"4215 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",09:00 - 02:00,09:00 - 02:00,09:00 - 02:00,09:00 - 02:00,09:00 - 02:00,09:00 - 02:00,09:00 - 02:00,True,"Korean,Barbeque,Restaurants",Las Vegas,176,Mother's Korean Grill,Chinatown,-115.1963604,36.1253986,NV,3.0
pEYJpTbqCQLtSH_l91GbMg,"4355 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",18:00 - 04:00,18:00 - 04:00,18:00 - 04:00,18:00 - 04:00,18:00 - 04:00,18:00 - 04:00,18:00 - 04:00,False,"Korean,Restaurants,Karaoke,Nightlife",Las Vegas,50,Zizzy,Chinatown,-115.197904,36.125908,NV,3.5
V3P4YnU1x9OttGfY-VfmOA,"1324 S Rural Rd
Tempe, AZ 85281",,,,,,,,False,"Korean,Restaurants",Tempe,10,Seoul Garden,,-111.9262735,33.4130961,AZ,2.0
65_YeaivbdWNk1ZHiAI77w,"3765 S Las Vegas Blvd
The Strip
Las Vegas, NV 89109",12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,True,"Korean,Barbeque,Restaurants",Las Vegas,109,Ginseng Korean BBQ II,The Strip,-115.1724485,36.1050296,NV,3.5
U2dZYCgkuS9SGgyKaCUlbQ,"8826 S Eastern Ave
Ste 113
Las Vegas, NV 89123",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,11:00 - 21:00,True,"Korean,Restaurants",Las Vegas,136,Jun's House Korean Restaurant,,-115.115884515499,36.0292953640485,NV,4.0
0WBsN95ItG6IyiB1X2lMrA,"4372 W Olive Ave
Glendale, AZ 85302",,,,,,,,True,"Korean,Sushi Bars,Japanese,Restaurants",Glendale,42,Koi Sushi Bar & Grill,,-112.153833,33.567834,AZ,3.5
1PcG-b2oT_qNy_3XjazD2w,"1414 N Scottsdale Rd
Scottsdale, AZ 85250",,,,,,,,True,"Korean,Restaurants",Scottsdale,12,Korean Restaurant,,-111.9275459,33.4643735,AZ,2.5
pAtTzUkgS8qtCW5EFTTRbg,"4480 S Paradise Rd
Ste 1000
Eastside
Las Vegas, NV 89169",,,,,,,,False,"Korean,Barbeque,Restaurants",Las Vegas,8,SanToki Korean BBQ & Shabu Bar,Eastside,-115.152093,36.1088013,NV,2.5
3r3Nt3ih6RSjtjgcIJXqwQ,"430 E Silverado Ranch Blvd
Ste 115
Southeast
Las Vegas, NV 89183",,,,,,,,False,"Korean,Sushi Bars,Japanese,Hawaiian,Restaurants",Las Vegas,57,Yum Yum BBQ,Southeast,-115.1530086,36.0130882,NV,4.0
MfQWzjADewehBJaK4oGj3g,"5115 Spring Mountain Rd
Ste 228
Chinatown
Las Vegas, NV 89146",,19:00 - 04:00,19:00 - 04:00,19:00 - 04:00,19:00 - 04:00,19:00 - 04:00,19:00 - 04:00,True,"Nightlife,Korean,Asian Fusion,Karaoke,Restaurants",Las Vegas,84,Bazic Bar & Restoyaky,Chinatown,-115.211199,36.125587,NV,3.5
lrrW5UAXn_FPQySynu5DrA,"2025 Village Center Cir
Summerlin
Las Vegas, NV 89134",11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,False,"Korean,Sushi Bars,Restaurants",Las Vegas,80,Maru Korean BBQ & Sushi,Summerlin,-115.304085,36.1909769,NV,3.5
fgEhjm06n5OukqRDf_CJog,"4490 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",,,,,,,,False,"Korean,Restaurants",Las Vegas,5,The Whale Island,Chinatown,-115.201741,36.126586,NV,4.0
xCXSaqlKvclhWBczA4fqkA,"721 N Arizona Ave
Ste 103
Mesa, AZ 85209",,,,,,,,False,"Korean,Restaurants",Mesa,3,Manna Cafe,,-111.63461,33.38081,AZ,3.5
3T-tuQOo7r0GApFc4sBV-A,"2555 S Jones Blvd
Ste 3
Westside
Las Vegas, NV 89146",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,11:00 - 21:00,,True,"Korean,Japanese,Restaurants",Las Vegas,50,Well Being In The Box,Westside,-115.2254682,36.1429917,NV,4.0
cQJM8VpY21O3HVu7j_b7Vw,"4725 Spring Mountain Rd
Chinatown
Las Vegas, NV 89102",11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,True,"Korean,Restaurants",Las Vegas,232,Honey Pig,Chinatown,-115.205231,36.1255979,NV,3.5
