business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,city.1,name,neighborhoods,longitude,latitude,state,stars
sJpv6MouGQhQOt0V0W0UYw,"8665 W Flamingo Rd
Ste 107
Spring Valley
Las Vegas, NV 89147",12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,True,"Bars,Mediterranean,Nightlife,Lounges,Hookah Bars,Restaurants",Las Vegas,68,Layla Grill & Hookah,Spring Valley,-115.2803993,36.1139221,NV,5.0
0HIOVPAD0NngfT1_zrUh5w,"1445 W Southern Ave
Fiesta Mall
Mesa, AZ 85202",,,,,,,,True,"Mediterranean,Restaurants",Mesa,8,Sahara Express,,-111.8609449,33.38891454,AZ,5.0
W3VsNhHLMRj5ABMdMcpaUw,"7122 E Greenway Pkwy
Ste 120
Scottsdale, AZ 85254",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 21:00,10:00 - 21:00,12:00 - 18:00,True,"Food,Specialty Food,Mediterranean,Restaurants",Scottsdale,12,Queen Creek Olive Mill Oils & Olives Kierland Commons,,-111.9293764,33.6228883,AZ,5.0
Oi_OT6erHvm6lb_D8bwslw,"2502 E Camelback Rd
Ste 148H
Phoenix, AZ 85016",10:00 - 20:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 20:00,11:00 - 20:00,12:00 - 18:00,True,"Food,Specialty Food,Mediterranean,Restaurants",Phoenix,6,Queen Creek Olive Mill Oils & Olives Biltmore Fashion Park,,-112.027191,33.510185,AZ,5.0
Ls2ZYnTrESmH8t9TpCSHqA,"4804 E Chandler Blvd
Phoenix, AZ 85048",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 21:00,11:00 - 21:00,11:00 - 20:00,True,"Mediterranean,Restaurants",Phoenix,3,ZK Grill,,-111.9798844,33.3057767,AZ,5.0
iG6o2hynadsVsOWeh9b1Vg,"87 Giles St
Leith
Leith
Edinburgh EH6 6BZ",,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,,True,"Mediterranean,Restaurants",Edinburgh,3,Vintners Rooms,Leith,-3.1723567000000004,55.97403050000001,EDH,5.0
pXZtlGpKm-AHLPjD-reuIw,"1320 E Broadway Rd
Ste 101
Tempe, AZ 85281",12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 22:00,12:00 - 22:00,12:00 - 21:00,True,"Mediterranean,Arabian,Middle Eastern,Restaurants",Tempe,9,Palm Beach Middle Eastern Restaurant,,-111.9171196,33.40829585,AZ,4.5
4KUtlXKejC8saY5euhDVrA,"4312 W Cactus Rd
Ste 10
Glendale, AZ 85304",09:00 - 17:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,True,"Mediterranean,Restaurants",Glendale,33,Shawarma King,,-112.1522241,33.5964473,AZ,4.5
vcMcfqkkX-o4Ta-hr65odg,"5932 W Bell
Ste D 109
Glendale, AZ 85308",10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 18:00,True,"Greek,American (Traditional),Mediterranean,Restaurants",Glendale,9,Al's Gyro's,,-112.1870284,33.6403912,AZ,4.5
zbjPg_vvxCWkFjeEvVpmnA,"1500 N Green Valley Pkwy
Ste 230
Henderson, NV 89074",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,11:00 - 16:00,True,"Lebanese,Mediterranean,American (New),Middle Eastern,Restaurants",Henderson,48,ZiKiZ,,-115.086426,36.02951,NV,4.5
giaz_4IuWCB56GIYY1Qlig,"1805 E Elliot Rd
Tempe, AZ 85284",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:30 - 14:00,False,"Mediterranean,Restaurants",Tempe,7,Fusion Mediterranean Delight,,-111.909978,33.3478761,AZ,4.5
2WYBbV-VCKcnFemxWDZH_w,"239 E Main St
Sun Prairie, WI 53590",,16:00 - 21:00,16:00 - 21:00,16:00 - 21:00,16:00 - 21:00,11:00 - 21:00,16:00 - 21:00,True,"Greek,Mediterranean,Restaurants",Sun Prairie,30,Atlantis Taverna,,-89.21159509999998,43.1829812,WI,4.5
4rr-CJp0jMKr-kg9wnrTdw,"2620 W Broadway Rd
Mesa, AZ 85202",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,11:00 - 19:00,True,"Middle Eastern,Lebanese,Mediterranean,Arabian,Restaurants",Mesa,76,Princess Mediterranean Market & Deli,,-111.887898,33.407996999999995,AZ,4.5
l-npaoUMhCy8HocKsuI-GQ,"6160 W Tropicana Ave
Ste E 8
Las Vegas, NV 89103",10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,12:00 - 00:00,True,"Mediterranean,Restaurants",Las Vegas,26,BG Bistro,,-115.2272996,36.10052786,NV,4.5
