business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
77ESrCo7hQ96VpCWWdvoxg,"6230 University Ave
Middleton, WI 53562",06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,08:00 - 14:00,False,"Mexican,Restaurants",Middleton,17,Mi Cocina,,-89.4874867,43.0910607,WI,3.0
S4TWo9X6b3gU6uucj4JN3g,"4001 Lien Rd
Mayfair Park
Madison, WI 53704",,,,,,,,True,"Mexican,Restaurants",Madison,19,Laredo's,Mayfair Park,-89.314621,43.120577,WI,3.5
wPidHd5FxspPRgVqdEQ-Xw,"3555 E Washington Ave
Hawthorne
Madison, WI 53704",11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,,,11:00 - 22:00,True,"Mexican,Restaurants",Madison,48,Pedro's Mexican Restaurante,Hawthorne,-89.3257337,43.1146494,WI,2.5
rgyvl8tNVAony634_9vFdQ,"3002 E Washington Ave
Eken Park
Madison, WI 53704",07:00 - 03:00,07:00 - 03:00,07:00 - 03:00,07:00 - 03:00,07:00 - 05:00,06:30 - 05:00,06:30 - 03:00,True,"Fast Food,Mexican,Tex-Mex,Restaurants",Madison,4,Taco Bell,Eken Park,-89.342924,43.10379,WI,4.0
xou2z56CFTWYoA99s4DpTg,"100 E Broadway
Monona, WI 53716",06:30 - 02:30,06:30 - 02:30,06:30 - 02:30,06:30 - 02:30,06:30 - 03:00,07:00 - 03:00,07:00 - 02:30,True,"Fast Food,Mexican,Tex-Mex,Restaurants",Monona,3,Taco Bell,,-89.3246,43.0477,WI,3.0
e5kc0CQ4R-PCCDgb274gSg,"455 N 3rd St
Ste 114
Phoenix, AZ 85004",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 21:00,True,"Mexican,Tex-Mex,Restaurants",Phoenix,176,Canyon Cafe,,-112.0691194,33.4526031,AZ,3.5
neGAQFkBNI8-rpPBLBzNkw,"301 East McDowell Road
Phoenix, AZ 85004",07:00 - 01:00,07:00 - 01:00,07:00 - 01:00,07:00 - 01:00,07:00 - 02:00,07:00 - 02:00,07:00 - 01:00,True,"Fast Food,Mexican,Tex-Mex,Restaurants",Phoenix,6,Taco Bell,,-112.06909,33.46544,AZ,3.5
BESmH-lmMm34_EefL8X9fQ,"1830 S Central Ave
Phoenix, AZ 85004",,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 22:00,08:00 - 22:00,08:00 - 20:00,True,"Mexican,Restaurants",Phoenix,161,Comedor Guadalajara,,-112.073929,33.429424,AZ,4.0
D09yG6Z3gcsh24Qn7Y4gYA,"530 E McDowell Rd
Ste 103
Phoenix, AZ 85004",08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 20:00,,True,"Mexican,Restaurants",Phoenix,65,Chico's Tacos,,-112.0657286,33.4657117,AZ,3.0
Y293fHh5SZ0_9BZm4M6BCg,"125 E Adams St
Phoenix, AZ 85004",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,False,"Greek,Mexican,Restaurants",Phoenix,58,Matador Restaurant,,-112.0722653,33.4492272,AZ,3.0
