business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
g6SHDb-0BYr2weF7heRsjg,"1941 W Guadalupe Rd
Ste 118
Mesa, AZ 85202",,,,,,,,True,"Breakfast & Brunch,Vegetarian,Vegan,Restaurants",Mesa,5,Iss' Magic Mixes Oatmeal Cafe,,-111.8757857,33.3628077,AZ,5.0
s_xc9-ecaF_RQH9-l-aD0A,"440 S Rampart Blvd
Westside
Las Vegas, NV 89145",,,,,,09:00 - 14:00,08:30 - 13:00,True,"Bakeries,Food,Vegan,Restaurants",Las Vegas,7,Bite Vegan Bakery,Westside,-115.2860976,36.1670211,NV,5.0
r2ZPO8PV-kA6Jcht2JUdFQ,"Las Vegas, NV",,,16:00 - 20:00,,15:00 - 19:00,09:00 - 14:00,08:30 - 13:00,True,"Mexican,Vegan,Restaurants",Las Vegas,18,Garden Grill,,-115.136389,36.175,NV,5.0
9Tjj3Zg-PPFCIUB_ITe30A,"Capitol
Madison, WI",,,10:00 - 14:00,10:00 - 14:00,10:00 - 14:00,08:00 - 14:00,,True,"Food,Cafes,Food Trucks,Vegan,Restaurants",Madison,8,Ladonia Cafe,Capitol,-89.39895568675541,43.07577116138829,WI,5.0
Nw8lWJRGybAsciao9h-R2Q,"401 S Maryland Pkwy
Downtown
Las Vegas, NV 89101",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,10:00 - 20:00,10:00 - 20:00,True,"Food,Vegetarian,Coffee & Tea,Vegan,Restaurants",Las Vegas,183,Bronze Cafe at The Center,Downtown,-115.134897,36.16170200000001,NV,5.0
rUfhe6qibE1W-80PqDHZCw,"414 S Mill Ave
Ste 111
Tempe, AZ 85281",08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,08:30 - 16:00,,,True,"Vegetarian,Gluten-Free,Vegan,Restaurants",Tempe,73,Desert Roots Kitchen,,-111.940346,33.425938,AZ,5.0
YnAYdlHFr4y34-UMEpLY1A,"Library Mall
Capitol
Madison, WI 53706",,,,,,,,False,"Vegetarian,Food Stands,Vegan,Restaurants",Madison,4,Dandelion Food Cart,Capitol,-89.3989853,43.0753917,WI,5.0
uvEY8YmESqVYZe1Ziz7AKQ,"2235 S Power Rd
Ste 116
Mesa, AZ 85209",,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 15:00,True,"Bakeries,Food,Cafes,Vegan,Restaurants",Mesa,45,Cutting Board Cafe,,-111.687184,33.375052000000004,AZ,4.5
enbTOcl7WNgsjsAtmhvDRA,"1502 W Thomas Rd
Phoenix, AZ 85015",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,True,"Asian Fusion,Vegan,Chinese,Restaurants",Phoenix,66,Mu Shu Asian Grill,,-112.09158,33.480771000000004,AZ,4.5
c1yGkETheht_1vjda7G5sA,"2240 N Scottsdale Rd
Tempe, AZ 85281",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,True,"Vegetarian,Gluten-Free,Vegan,Restaurants",Tempe,648,Green,,-111.927165985107,33.453786901962296,AZ,4.5
