business_id,full_address,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,open,categories,city,review_count,name,neighborhoods,longitude,latitude,state,stars
si8CU5aavaqWeQ-HPCyB5A,"2480 Homer Watson Boulvard
Kitchener, ON N2P 2R5",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 23:00,11:00 - 23:00,11:00 - 22:00,True,"Thai,Vietnamese,Chinese,Restaurants",Kitchener,4,Mango King,,-80.411922,43.387164,ON,5.0
IC8no-tIdDWgkYzb5d-Nvw,"7016 N 57th Ave
Glendale, AZ 85301",17:00 - 20:30,17:00 - 20:30,11:00 - 14:30,17:00 - 20:30,17:00 - 20:30,11:00 - 20:30,11:00 - 19:00,True,"Vietnamese,Restaurants",Glendale,163,Little Saigon,,-112.181569,33.539257,AZ,4.5
7f21MbcOzrlE1kMYe12LMQ,"Venetian Hotel
3355 Las Vegas Blvd S
Eastside
Las Vegas, NV 89109",,,,,,,,False,"Chinese,Vietnamese,Sushi Bars,Japanese,Thai,Korean,Restaurants",Las Vegas,9,Tsunami Asian Grill & Sushi Bar,Eastside,-115.146372,36.124423,NV,4.5
a_wK-2KhPu-8DAwwRObr8A,"2401 E Baseline Rd
Ste 118
Gilbert, AZ 85234",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 21:00,11:00 - 21:00,10:00 - 20:00,True,"Thai,Vietnamese,Cantonese,Chinese,Restaurants",Gilbert,102,Simi's Cafe,,-111.77975068285299,33.3788895536548,AZ,4.5
OVtSFFNohXIz9vdWDvbnEw,"2844 N 43rd Ave
Phoenix, AZ 85009",09:00 - 20:00,,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,True,"Vietnamese,Restaurants",Phoenix,50,43rd Express,,-112.1522044,33.4794675,AZ,4.5
MnaDsfBiNRcCBbnYnlOddw,"Westside
Las Vegas, NV 89118",10:00 - 00:00,10:00 - 00:00,10:00 - 00:00,21:00 - 00:00,10:00 - 02:00,22:00 - 01:00,10:00 - 00:00,True,"Food,Vietnamese,Asian Fusion,Food Trucks,Restaurants",Las Vegas,29,Wa Da Pho,Westside,-115.20980257540899,36.1469046181753,NV,4.5
wmm19sGdCiL5IZhViYQY2Q,"4860 W Desert Inn Rd
Ste 9
Westside
Las Vegas, NV 89102",11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 23:00,11:00 - 23:00,11:00 - 21:00,True,"Vietnamese,Restaurants",Las Vegas,12,Pho Lan,Westside,-115.2074043,36.1299924,NV,4.5
8G3gD8OJdnmPz1o9bg2yCw,"393 W Warner Rd
Chandler, AZ 85225",10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,True,"Vietnamese,Restaurants",Chandler,43,Pho Viet Nam,,-111.845819002377,33.3346430292596,AZ,4.5
Y8OPM6aiLoGEQc6OXhnR8A,"6165 W Chandler Blvd
Ste 1
Chandler, AZ 85226",11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,True,"Food,Ethnic Food,Specialty Food,Vietnamese,Restaurants",Chandler,62,Spring Roll Factory,,-111.9479565,33.3044272,AZ,4.5
NFMlj1TMVqzvo8jlQp0dUA,"4232 W Bell Rd
Ste 8 & 9
Glendale, AZ 85308",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,True,"Vietnamese,Food,Ethnic Food,Soup,Specialty Food,Restaurants",Glendale,104,Pho Viet Vietnamese Restaurant,,-112.1498222,33.6400698,AZ,4.5
JSxOXnKwF0bnJ130nsWNIA,"5040 W Wild Horse Pass
Chandler, AZ 85048",,,,,,,,True,"Vietnamese,Asian Fusion,Restaurants",Chandler,8,Star Ginger,,-111.9729284,33.2816398,AZ,4.0
L_MtTn4IUBTmQtqqM2iFqA,"7000 E Mayo Blvd
Ste 1084
Phoenix, AZ 85054",10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 18:00,True,"Vietnamese,Restaurants",Phoenix,161,Tea Light Cafe,,-111.93928952911399,33.6782214624068,AZ,4.0
dipzJ5BExpm6BtJ91mXd4Q,"2095 N Dobson Rd
Ste 3
Chandler, AZ 85224",10:00 - 20:30,10:00 - 20:30,,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,True,"Vietnamese,Restaurants",Chandler,161,Pho Van Vietnamese Cuisine,,-111.87563984176701,33.3359999365212,AZ,4.0
qcm7pfIdNn9XBuPEtoogbw,"7822 N 12th St
Phoenix, AZ 85020",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 22:00,11:00 - 22:00,11:00 - 21:00,True,"Thai,Vietnamese,Restaurants",Phoenix,64,Red Thai,,-112.05805675401399,33.5508545180918,AZ,4.0
MqnlCLq3b34Lq1Y7j7NY_Q,"7828 N 19th Ave
Ste G
Phoenix, AZ 85021",,,,,,,,True,"Vietnamese,Restaurants",Phoenix,33,Phuong Dong,,-112.0998501,33.5520874,AZ,4.0
I7qsERKHVqW0jdfeHMmCCw,"79 Dalry Road
West End
Edinburgh EH11 2AA",12:00 - 14:30,12:00 - 14:30,12:00 - 14:30,12:00 - 14:30,12:00 - 14:30,12:00 - 22:30,12:00 - 22:30,True,"Vietnamese,Restaurants",Edinburgh,3,Little Vietnam,"West End,Haymarket",-3.2184679,55.9438473,MLN,4.0
NFWJ8ZY88BtrcrMYRAj9gA,"3355 Spring Mountain Rd
Ste 35
Chinatown
Las Vegas, NV 89102",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,True,"Soup,Vietnamese,Restaurants",Las Vegas,156,Pho Bosa,Chinatown,-115.185195068787,36.125660151972795,NV,4.0
o8fTSsBLOSqTUh7RhGRYUg,"4180 S Jones Blvd
Las Vegas, NV 89103",11:00 - 22:00,,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,False,"Vietnamese,Asian Fusion,French,Restaurants",Las Vegas,9,188 Restaurant,,-115.224263,36.1129279,NV,4.0
jysbMbCzPLyU8hBVi1T6jw,"4860 W Desert Inn Rd
Ste 9
Westside
Las Vegas, NV 89102",11:00 - 22:00,,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,False,"Vietnamese,Restaurants",Las Vegas,22,Nha Trang Restaurant,Westside,-115.2074043,36.1299924,NV,4.0
vDEC5kHgtjkqyuZAZrSuMA,"8390 S Rainbow Blvd
Southwest
Las Vegas, NV 89139",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,True,"Vietnamese,Restaurants",Las Vegas,135,Pho Annie,Southwest,-115.2430194,36.0360324,NV,4.0
YTbSJITWKp_QgfY2vrXvSQ,"3409 S Jones Blvd
Chinatown
Las Vegas, NV 89146",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,False,"Vietnamese,Restaurants",Las Vegas,27,Que Huong Restaurant,Chinatown,-115.225945,36.126625,NV,4.0
E4b5OC_6mZ0V7B6Nyjncsg,"6204 N Scottsdale Rd
Ste 106
Paradise Valley, AZ 85253",,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,True,"Vietnamese,Thai,Asian Fusion,Chinese,Restaurants",Paradise Valley,118,Tottie's Asian Fusion,,-111.9258636,33.528927100000004,AZ,4.0
IdpMuPyKIEfO41IlLxXwmw,"5700 W Spring Mountain Rd
#I
Chinatown
Las Vegas, NV 89146",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,08:00 - 18:00,True,"Vietnamese,Restaurants",Las Vegas,99,Dakao Sandwiches,Chinatown,-115.21951029999998,36.1257243,NV,4.0
_HTE4pOKeJC7kcxiCF9vTA,"2765 N Scottsdale Rd
Ste 107
Scottsdale, AZ 85257",11:00 - 20:30,11:00 - 20:30,11:00 - 20:30,11:00 - 20:30,11:00 - 20:30,11:00 - 20:30,,True,"Vietnamese,Restaurants",Scottsdale,215,Noodles Ranch,,-111.9255906,33.4787159,AZ,4.0
WzjRM6h6dZFBwr1rvwjvPQ,"7537 S Rainbow Blvd
Ste 101-102
Southwest
Las Vegas, NV 89139",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:30,True,"Vietnamese,Restaurants",Las Vegas,107,Bamboo Bistro,Southwest,-115.24387,36.051627,NV,4.0
MAfc2V_EVtyR9rMxxEAPLg,"1537 E Apache Blvd
Tempe, AZ 85281",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,True,"Vietnamese,Restaurants",Tempe,190,Khai Hoan Restaurant,,-111.913402,33.4146742,AZ,4.0
KTF-E3NfkJy2wiwcgOPyVQ,"7901 E Thomas Rd
Ste 108
Scottsdale, AZ 85251",,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,True,"Vietnamese,Thai,Asian Fusion,Restaurants",Scottsdale,173,Tottie's Asian Fusion,,-111.9107414,33.4799784,AZ,4.0
1ksEqDWneqp8vn1m2zSueg,"3202 E Greenway Rd
Ste 1289
Phoenix, AZ 85032",,,,,,,,True,"Vietnamese,Restaurants",Phoenix,44,Pho A.V,,-112.011592666971,33.6281081563954,AZ,4.0
Zy2vca7i9QFGRKa4m0C__A,"4538 N 19th Ave
Phoenix, AZ 85015",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,True,"Vietnamese,Restaurants",Phoenix,289,Da Vàng,,-112.1000457,33.5038922,AZ,4.0
tqDwpyCB53TiEIv915Tuww,"4920 W Thunderbird Rd
Ste 110
Glendale, AZ 85306",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:30,,True,"Vietnamese,Restaurants",Glendale,155,Pho Avina,,-112.16568,33.611367,AZ,4.0
